61,To LAX,2011-12-16 01:30:00,2011-12-12 22:17:49.781745,2011-12-12 22:19:33.554626,,14:00:00
62,To Ontario,2011-12-16 01:30:00,2011-12-12 22:20:35.458253,2011-12-12 22:20:35.458253,130,14:20:00
63,From LAX,2012-01-16 23:00:00,2011-12-12 22:23:34.422159,2011-12-12 22:23:34.422159,130,14:23:00
76,To LAX,2011-12-16 08:45:00,2011-12-15 00:24:02.90618,2011-12-15 00:24:37.833564,166,10:45:00
74,To LAX,2011-12-15 16:45:00,2011-12-14 20:13:26.045895,2011-12-15 00:30:58.384425,,06:30:00
59,To Ontario,2011-12-15 14:30:00,2011-12-12 21:31:56.022782,2011-12-12 22:50:27.941639,128,05:00:00
64,To LAX,2011-12-18 07:45:00,2011-12-12 23:53:01.516813,2011-12-12 23:53:01.516813,134,20:00:00
65,To LAX,2011-12-15 18:45:00,2011-12-13 00:02:43.623762,2011-12-13 00:02:43.623762,73,07:45:00
66,To LAX,2011-12-18 00:00:00,2011-12-13 01:22:27.261621,2011-12-13 01:22:27.261621,139,12:00:00
53,To Ontario,2011-12-14 18:30:00,2011-12-12 18:23:20.59074,2011-12-13 03:35:44.901126,,
26,To LAX,2011-12-16 23:00:00,2011-12-09 19:22:14.874854,2011-12-13 04:23:24.767043,56,11:00:00
14,To LAX,2011-12-16 21:30:00,2011-12-09 04:25:01.421765,2011-12-13 04:47:33.117276,30,09:30:00
38,To LAX,2011-12-16 19:30:00,2011-12-11 01:10:07.810553,2011-12-13 20:46:31.06303,66,07:45:00
67,From LAX,2012-01-16 05:45:00,2011-12-13 21:26:35.08062,2011-12-13 21:26:35.08062,20,13:26:00
77,From LAX,2012-01-17 01:45:00,2011-12-15 01:11:24.288778,2011-12-15 01:11:24.288778,167,17:10:00
12,To Ontario,2011-12-17 18:15:00,2011-12-09 03:44:39.45756,2011-12-13 22:03:35.670787,28,08:45:00
68,To LAX,2011-12-17 00:30:00,2011-12-13 22:34:02.611557,2011-12-13 22:34:14.603682,138,12:45:00
70,To Ontario,2011-12-16 14:45:00,2011-12-13 23:57:02.630729,2011-12-13 23:57:02.630729,149,05:45:00
71,To LAX,2011-12-18 17:45:00,2011-12-14 00:12:14.501693,2011-12-14 00:12:14.501693,151,06:30:00
72,To LAX,2011-12-17 05:00:00,2011-12-14 04:53:40.44787,2011-12-14 04:53:40.44787,117,17:30:00
73,From LAX,2012-01-16 08:00:00,2011-12-14 08:40:11.568667,2011-12-14 08:40:11.568667,138,00:36:00
51,To LAX,2012-12-17 20:30:00,2011-12-12 04:58:52.310564,2011-12-14 10:28:05.4205,,
